日期,證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"1150226","2610","華航","48482364","1017407732","21.15","21.30","20.80","21.00","-0.1000","14412"
"1150226","2611","志信","414624","6081973","14.50","14.75","14.50","14.60","0.1000","406"
"1150226","2612","中航","3463678","231179241","65.40","68.70","65.00","66.20","1.8000","5796"
"1150226","2613","中櫃","470996","11739015","24.55","25.10","24.55","24.90","0.2500","396"
"1150226","2614","東森","891572","18292959","20.60","20.70","20.45","20.55","-0.0500","792"
"1150226","2615","萬海","10826282","833069427","76.40","77.60","76.40","76.40","0.0000","6039"
"1150226","2616","山隆","123641","1681268","13.55","13.70","13.50","13.60","0.1000","495"
"1150226","2617","台航","1352902","42465559","30.75","31.65","30.75","31.20","0.4500","971"
"1150226","2618","長榮航","51481944","1953265518","38.05","38.40","37.65","38.00","0.0500","11228"
"1150226","2630","亞航","1015487","53287060","52.60","53.20","51.70","52.90","-0.1000","887"
"1150226","2633","台灣高鐵","12485925","337627371","27.10","27.20","27.00","27.05","-0.0500","3729"
"1150226","2634","漢翔","6252888","343539225","55.50","55.70","54.40","55.00","-0.5000","4107"
"1150226","2636","台驊控股","364573","23502009","64.40","64.80","64.20","64.30","0.1000","428"
"1150226","2637","慧洋-KY","4975836","365089310","72.80","74.10","72.80","72.80","0.6000","3202"
"1150226","2642","宅配通","59905","1484228","24.55","24.95","24.55","24.85","0.0500","151"
"1150226","2645","長榮航太","4140783","716577658","173.50","177.50","168.00","177.50","3.5000","14656"
"1150226","2646","星宇航空","7841572","180426152","23.15","23.20","22.90","22.90","-0.2000","4402"
"1150226","2701","萬企","96751","1073653","11.05","11.15","11.05","11.10","-0.0500","92"
"1150226","2702","華園","46764","558455","11.90","12.00","11.90","11.95","-0.0500","106"
"1150226","2704","國賓","184949","8090736","43.35","44.05","43.30","44.05","0.5500","207"
"1150226","2705","六福","244786","3968223","16.20","16.25","16.15","16.25","0.0500","305"
"1150226","2706","第一店","114013","1467416","12.80","12.90","12.80","12.90","0.0500","161"
"1150226","2707","晶華","165808","31330638","189.00","190.00","188.00","188.50","0.5000","273"
"1150226","2712","遠雄來","25290","438770","17.40","17.45","17.30","17.30","-0.1000","22"
"1150226","2722","夏都","102850","2597847","25.80","25.80","25.00","25.50","-0.1000","80"
"1150226","2723","美食-KY","627395","44690912","72.10","72.30","70.70","71.60","-0.4000","657"
"1150226","2727","王品","465774","102407388","219.50","221.50","219.00","219.00","1.5000","1049"
"1150226","2731","雄獅","776366","135894795","173.00","176.50","173.00","175.50","2.5000","834"
"1150226","2739","寒舍","143115","4803210","33.60","33.80","33.45","33.65","-0.0500","247"
"1150226","2748","雲品","81364","3346610","41.35","41.35","41.00","41.00","-0.3500","163"
"1150226","2753","八方雲集","452663","83749175","187.00","188.00","183.50","184.50","-0.5000","1310"
"1150226","2762","世界健身-KY","100463","7787784","77.40","78.30","77.00","77.50","0.8000","445"
"1150226","2801","彰銀","41289964","894822652","21.65","21.85","21.55","21.60","-0.0500","6360"
"1150226","2812","台中銀","16557595","348164917","21.00","21.20","20.85","21.10","0.1000","5522"
"1150226","2816","旺旺保","260794","8025313","30.50","30.95","30.40","30.95","0.5000","287"
"1150226","2820","華票","1112749","19128004","17.20","17.25","17.15","17.15","-0.0500","531"
"1150226","2832","台產","95936","4754278","49.60","49.65","49.35","49.60","0.0500","586"
"1150226","2834","臺企銀","50959946","832155938","16.15","16.40","16.15","16.40","0.2500","8399"
"1150226","2836","高雄銀","4943993","63351012","12.70","12.90","12.70","12.90","0.2000","1129"
"1150226","2836A","高雄銀甲特","51061","1224163","24.00","24.00","23.95","24.00","0.0000","25"
"1150226","2838","聯邦銀","3642563","73717772","20.10","20.45","20.00","20.25","0.2500","1107"
"1150226","2838A","聯邦銀甲特","92000","5020400","54.50","54.70","54.50","54.70","0.2000","27"
