"排名","代號","名稱","成交","漲跌價","漲跌幅","更新日期","當日成交量週轉率(%)","2日累計成交量週轉率","3日累計成交量週轉率","5日累計成交量週轉率","10日累計成交量週轉率","1個月累計成交量週轉率","3個月累計成交量週轉率","半年累計成交量週轉率","今年累計成交量週轉率","1年累計成交量週轉率","2年累計成交量週轉率","3年累計成交量週轉率"
"262",="00955","中信日本商社","12.63","-0.07","-0.55","12/05","1.48","3.13","4.01","5.95","11.8","37","119","229","415","424","",""
"263",="009805","新光美國電力基建","12.72","+0.17","+1.35","12/05","1.48","2.25","3.1","6.43","12","39.1","156","248","287","","",""
"264",="8499","鼎炫-KY","327.5","+29.5","+9.9","12/05","1.47","2.2","2.59","4.84","6.2","9.23","29.9","102","125","126","141","162"
"265",="2491","吉祥全","19.8","-1.05","-5.04","12/05","1.47","11.5","16.6","21.1","24.8","26.1","30.5","39.4","47.4","48.7","95.8","141"
"266",="00954","中信日本半導體","12.11","-0.01","-0.08","12/05","1.47","3.42","6.02","7.98","16.3","49.3","160","248","498","535","",""
"267","00799B","國泰A級醫療債","30.47","-0.01","-0.03","12/05","1.47","2.71","4.96","7.12","12.5","41.6","102","159","248","259","426","603"
"268",="6643","M31","426.5","-12","-2.74","12/05","1.43","2.47","4.15","6.69","14","38.7","93.1","208","394","449","1178","2427"
"269",="00894","中信小資高價30","26.27","+0.25","+0.96","12/05","1.43","2.27","3.44","7.5","14.1","36.4","93.1","175","332","342","607","814"
"270",="6994","富威電力","97.5","+1.8","+1.88","12/05","1.42","3.64","6.38","18.1","19.1","26.4","38.1","72.6","148","","",""
"271",="2498","宏達電","50.4","+1.2","+2.44","12/05","1.41","2.38","3.04","4.35","7.79","30.3","161","421","581","607","815","1172"
"272",="3019","亞光","137.5","-3","-2.14","12/05","1.41","5.17","5.56","6.35","10.2","22.7","123","488","1249","1468","2096","2191"
"273",="3563","牧德","472.5","-18","-3.67","12/05","1.4","2.04","3.38","6.03","14.3","33","94.7","264","524","549","922","1026"
"274",="2402","毅嘉","51.7","+0.5","+0.98","12/05","1.4","3.98","6.01","9.63","13.7","33.4","111","405","480","491","1142","2321"
"275",="4745","合富-KY","26.75","+0.8","+3.08","12/05","1.4","2.59","3.52","5.39","18","25.5","28.2","30.7","37.4","38.2","60.3","75.1"
"276",="4540","全球傳動","36.1","+0.15","+0.42","12/05","1.39","3.14","3.38","4.03","5.79","14.1","55","180","652","906","1313","1337"
"277",="6175","立敦","49.6","+0.6","+1.22","12/05","1.39","7.13","20.1","29.3","44.3","91.6","232","278","379","387","471","536"
"278",="1727","中華化","37.15","-0.3","-0.8","12/05","1.38","3.41","5.88","16.5","86.6","128","235","500","546","557","1072","1457"
"279",="2356","英業達","47.1","+1.05","+2.28","12/05","1.38","1.99","2.56","3.67","6.9","11.8","34","59.5","109","117","422","670"
"280","00676R","富邦臺灣加權反1","9.36","-0.06","-0.64","12/05","1.37","1.89","3","6.46","20.7","51.8","153","291","659","751","2365","3558"
"281",="3141","晶宏","51.6","-0.4","-0.77","12/05","1.37","4.54","14.4","28.2","29.3","33.5","57.9","83.6","120","130","437","1116"
"282","00741B","富邦全球非投等債","37.63","+0.06","+0.16","12/05","1.35","3.08","5.32","8.69","15.8","35.8","99.4","229","555","609","1248","1428"
"283",="3587","閎康","207","+2","+0.98","12/05","1.35","2.23","2.55","3.33","5.26","12","73.6","203","263","269","719","1249"
"284",="6125","廣運","65.1","+1","+1.56","12/05","1.34","2.23","2.56","2.99","4.44","9.13","40.4","134","264","290","1733","2600"
"285",="1616","億泰","28.35","-1.3","-4.38","12/05","1.34","1.81","2.15","2.81","4.39","15.5","75.9","503","623","628","1031","1179"
"286",="6188","廣明","103.5","-1","-0.96","12/05","1.34","3.92","5.17","6.34","11.5","24.1","109","226","341","408","1117","1790"
"287",="009808","華南永昌優選50","19.09","+0.11","+0.58","12/05","1.32","2.59","3.62","6.8","13.5","48.5","133","396","502","","",""
"288",="6432","今展科","34.75","-0.45","-1.28","12/05","1.3","10.2","17.8","19.6","29.7","133","235","246","268","271","373","530"
"289",="6603","富強鑫","22.55","+0.25","+1.12","12/05","1.29","2.45","5.06","13.3","24.3","36.7","75","98","129","137","425","549"
