"排名","代號","名稱","成交","漲跌價","漲跌幅","更新日期","當日成交量週轉率(%)","2日累計成交量週轉率","3日累計成交量週轉率","5日累計成交量週轉率","10日累計成交量週轉率","1個月累計成交量週轉率","3個月累計成交量週轉率","半年累計成交量週轉率","今年累計成交量週轉率","1年累計成交量週轉率","2年累計成交量週轉率","3年累計成交量週轉率"
"109",="6163","華電網","43.45","-0.7","-1.59","12/05","3.29","17.3","54.6","71.8","108","223","292","318","385","397","936","1410"
"110",="3162","精確","58.5","+1.5","+2.63","12/05","3.28","4.23","5.6","6.89","13.9","123","218","346","803","823","1008","1579"
"111",="6624","萬年清","58.5","-6","-9.3","12/05","3.27","4.79","6.07","10.5","16.1","19.4","23.6","26.7","31.1","32","56.3","76.6"
"112",="8088","品安","40","+0.5","+1.27","12/05","3.26","5.65","9.61","15.1","39.3","457","1667","2114","3379","3385","4004","5267"
"113",="3105","穩懋","147.5","+3.5","+2.43","12/05","3.26","6.1","10.7","25.6","50","76.5","143","204","284","292","511","837"
"114",="8046","南電","270","+11.5","+4.45","12/05","3.22","4.98","6.76","10.1","18.5","53","225","412","465","472","590","845"
"115",="6290","良維","169.5","-1","-0.59","12/05","3.2","5.99","7.64","14.5","33.5","103","390","783","1044","1051","1893","2438"
"116",="5230","雷笛克光學","19.3","+1.05","+5.75","12/05","3.14","3.6","5.09","7.7","8.63","10.6","19.7","39.4","111","120","1351","1486"
"117","00981B","第一金優選非投債","9.34","+0.02","+0.21","12/05","3.12","4.84","8.31","11.7","20.7","40.5","110","184","212","","",""
"118",="2349","錸德","10.85","0","0","12/05","3.07","5.21","5.72","6.02","6.94","10.4","22.4","53","97.1","107","619","678"
"119",="4971","IET-KY","230","+20.5","+9.79","12/05","3.05","30","37.6","61.4","155","239","356","1309","1936","2030","2687","2802"
"120",="00643","群益深証中小","16.2","+0.05","+0.31","12/05","3.04","6.58","10.9","16.8","32.2","66.8","197","371","714","838","1557","1647"
"121",="8071","能率網通","18.25","-0.1","-0.54","12/05","3.03","5.94","6.38","6.69","8.2","15.8","201","335","616","807","1676","1806"
"122",="00728","第一金工業30","36.51","+0.41","+1.14","12/05","3.03","3.7","3.8","4.28","5.51","8.91","25.7","68.7","133","143","432","741"
"123",="6683","雍智科技","463.5","+2.5","+0.54","12/05","3.01","8.58","15","34.5","43.8","62","152","391","670","725","1240","1505"
"124",="5475","德宏","68.9","+0.1","+0.15","12/05","3.01","9.76","17.9","25.3","37.1","55.3","218","569","623","626","744","890"
"125",="5289","宜鼎","469","+17","+3.76","12/05","2.98","5.61","9.45","17.6","41.3","134","334","391","465","471","624","977"
"126",="3628","盈正","82","+2","+2.5","12/05","2.97","5.65","18.5","22.8","31.8","85","300","314","326","333","436","552"
"127",="00896","中信綠能及電動車","19.54","+0.01","+0.05","12/05","2.96","6.97","9.25","11.5","13.4","19.2","47.3","74","111","118","256","436"
"128",="3653","健策","3060","+275","+9.87","12/05","2.96","3.41","4.07","6.54","13","35.9","82.8","154","252","261","462","716"
"129",="8027","鈦昇","101.5","-3","-2.87","12/05","2.96","8.23","12.9","28","36.9","49.1","99.6","160","244","260","1092","1354"
"130",="00875","國泰網路資安","40.07","+0.4","+1.01","12/05","2.96","3.22","3.41","4.31","6.24","11.8","54","138","253","266","595","957"
"131",="1536","和大","58.5","+0.2","+0.34","12/05","2.93","4.2","4.39","4.85","6.7","13.3","45.5","158","674","734","1173","1250"
"132","00981A","主動統一台股增長","15.98","+0.26","+1.65","12/05","2.91","6.44","9.81","24.6","43.2","91.9","204","324","333","","",""
"133","00650L","復華香港正2","17.98","+0.19","+1.07","12/05","2.87","7.3","11.7","19.6","39.4","116","367","794","2184","2380","7177","8890"
"134",="6919","康霈*","167.5","-15.5","-8.47","12/05","2.86","4.56","5.09","6.03","11","19","66.4","128","138","139","",""
"135","00984B","大華優利美A債15","16.84","+0.02","+0.12","12/05","2.85","9.18","12.3","24.9","52.7","121","380","901","1189","","",""
"136",="4543","萬在","29.55","+1.15","+4.05","12/05","2.81","3.66","6.08","16","19.1","21.8","29.2","39.3","63.1","68.8","1038","1982"
"137",="3491","昇達科","529","+5","+0.95","12/05","2.81","5.34","6.91","12.1","31","69","191","406","913","971","1582","2319"
"138",="5309","系統電","61.8","+0.7","+1.15","12/05","2.8","6.29","11.3","34.6","57.3","86.7","630","1161","1421","1516","2187","2491"
"139",="3441","聯一光","38","-1","-2.56","12/05","2.8","7.45","9.72","17.5","34.2","37.3","44.1","71.6","125","161","370","965"
"140",="2493","揚博","105","+9.4","+9.83","12/05","2.76","3.09","3.41","4","5.45","13.7","54.6","136","158","166","308","378"
"141","00637L","元大滬深300正2","19.91","+0.14","+0.71","12/05","2.75","6.59","10.1","16.3","38.2","84.1","249","507","1129","1264","3010","4311"
"142",="6588","東典光電","37.85","-0.75","-1.94","12/05","2.75","5.84","21.1","28.9","31.6","32.3","37.1","48.5","86.2","114","187","207"
"143",="2486","一詮","96.9","+3","+3.19","12/05","2.73","4.88","7.82","23.2","61","161","241","341","622","727","3172","4005"
"144",="6425","易發","80.8","0","0","12/05","2.72","5.49","9.43","15.6","44.8","59","161","283","397","489","2052","2080"
"145",="3231","緯創","151","+5","+3.42","12/05","2.72","3.67","4.98","7.14","12.4","33","114","190","290","304","737","1377"
"146","00673R","期元大S&P原油反1","27.75","-0.09","-0.32","12/05","2.71","5.35","10.2","15.6","24","77","685","2756","5404","5717","11801","20875"
"147",="3260","威剛","177","+1","+0.57","12/05","2.7","5.85","9.69","13.9","30.2","109","379","513","676","687","1225","1793"
"148",="2637","慧洋-KY","68.1","-5.5","-7.47","12/05","2.68","8.15","9.36","13.8","19.9","27.5","54.9","93.4","262","283","488","704"
"149",="00657","國泰日經225","59.3","-0.4","-0.67","12/05","2.68","2.87","4","9.67","24.1","104","228","326","606","634","1803","3012"
"150",="2375","凱美","95.1","+1.1","+1.17","12/05","2.64","8.67","15.8","20.7","48.9","231","812","830","913","961","1161","1374"
"151",="2464","盟立","61.1","+0.3","+0.49","12/05","2.62","5.25","5.49","6.14","7.82","18","83.5","241","449","584","2165","2245"
"152",="1587","吉茂","43.8","-2.5","-5.4","12/05","2.62","9.11","11.3","12.8","25.7","38","121","139","176","194","1032","1098"
"153",="6770","力積電","32.9","+0.6","+1.86","12/05","2.61","5.04","7.98","17","40.1","147","367","400","456","464","579","660"
"154","00685L","群益臺灣加權正2","121.35","+1.6","+1.34","12/05","2.56","4.34","7.06","13.2","27.1","78.4","195","396","978","1023","1646","1781"
"155",="8299","群聯","1080","+50","+4.85","12/05","2.54","5.58","8.11","13.2","34.3","89.7","206","264","387","411","698","933"
"156",="6967","汎瑋材料","66.5","+6","+9.92","12/05","2.5","2.71","2.76","3.01","3.77","5.78","16.6","25.5","44.9","48.1","",""
"157",="3443","創意","2220","+95","+4.47","12/05","2.47","3.6","5.18","9.3","29.2","75.8","186","287","411","455","959","1902"
"158",="009809","富邦淨零ESG50","10.31","+0.09","+0.88","12/05","2.47","3.46","7.36","16.1","25.5","60.4","","","183","","",""
"159",="3581","博磊","67.7","+0.2","+0.3","12/05","2.47","9.75","12","19.9","88.3","181","303","401","449","466","1675","1872"
"160","00890B","凱基ESGBBB債15+","33.04","0","0","12/05","2.47","4.95","7.47","12.7","25.5","56.6","160","328","591","637","1242","1515"
"161",="6173","信昌電","65.5","-0.8","-1.21","12/05","2.46","9.44","16.6","22.8","74.1","309","660","673","692","698","852","987"
"162","00860B","群益1-5Y投資級債","38.07","+0.02","+0.05","12/05","2.45","5.5","8.18","13.5","27.8","61.6","206","378","679","729","1562","2297"
"163","00631L","元大台灣50正2","340.65","+4.75","+1.41","12/05","2.43","5.4","7.68","13.4","30.6","86.3","229","578","1303","1371","2394","3177"
"164","00865B","國泰US短期公債","46.87","0","0","12/05","2.42","3.58","5.67","8.72","15.9","31.2","101","165","186","188","222","250"
"165",="2228","劍麟","101","-2","-1.94","12/05","2.4","5.04","9.51","16","25.3","34","121","267","302","308","515","637"
"166",="4562","穎漢","42.7","+3.85","+9.91","12/05","2.39","2.85","3.09","3.54","4.72","8.74","24.5","223","535","650","2563","2585"
"167",="5536","聖暉*","728","+33","+4.75","12/05","2.38","4.51","5.81","7.07","11.2","33.6","98.7","187","249","275","412","510"
"168",="8374","羅昇","91.6","+8.3","+9.96","12/05","2.38","2.95","3.3","3.69","4.58","7.63","25.2","147","305","442","1399","1415"
"169","00763U","期街口道瓊銅","29.74","+0.01","+0.03","12/05","2.36","8.21","9.73","18.3","26.7","49.5","233","423","512","517","701","763"
"170",="6781","AES-KY","1395","-10","-0.71","12/05","2.35","5","8.14","17.4","28.5","69.9","149","303","553","588","699","879"
"171",="3709","鑫聯大投控","54.1","-2.9","-5.09","12/05","2.35","4.51","6.02","8","20.2","85.2","195","310","583","592","663","724"
"172",="3131","弘塑","1365","+5","+0.37","12/05","2.34","5.64","6.71","13.6","27.4","53","230","468","784","820","1641","2251"
"173",="3321","同泰","20.65","-2.35","-10.2","12/05","2.33","5.42","7.03","10","11","24.3","37","45","75","81.1","467","544"
"174",="7717","萊德光電-KY","216.5","+14.5","+7.18","12/05","2.32","3.7","5.35","10.2","22","","","","38.2","","",""
"175",="009803","保德信市值動能50","12.76","+0.07","+0.55","12/05","2.29","4.36","6.4","10.7","15.2","33.4","101","242","563","","",""
"176",="3324","雙鴻","900","+10","+1.12","12/05","2.29","4.85","8.09","16.1","33.5","81.4","380","620","957","1001","2729","4243"
"177",="5484","慧友","42.95","+3.9","+9.99","12/05","2.28","3.27","3.39","3.56","4.57","7.86","24","70.4","153","211","505","585"
"178","00687C","國泰20年美債+櫃U","9.49","-0.02","-0.21","12/05","2.27","4.58","6.84","12.3","34.9","55.6","147","381","611","","",""
"179",="6944","兆聯實業","601","+14","+2.39","12/05","2.26","4.31","6.2","6.96","11.3","27.6","64.4","147","163","","",""
"180",="009812","野村日本東證","10.58","-0.06","-0.56","12/05","2.25","4.51","6.12","10.6","17.1","40.5","","","228","","",""
"181","00793B","群益AAA-A醫療債","31.65","+0.01","+0.03","12/05","2.23","4.57","6.81","11.3","23.6","50.2","146","275","484","528","1139","1753"
"182",="6127","九豪","28.1","-0.75","-2.6","12/05","2.23","25.9","35.5","39.7","50.3","90.3","202","259","306","347","916","1165"
"183",="3661","世芯-KY","3155","-15","-0.47","12/05","2.23","4.22","9.72","14.6","30.2","68.1","170","361","704","786","1538","2662"
"184",="3498","陽程","51.8","+0.2","+0.39","12/05","2.22","4.96","5.78","7.11","13","27.8","97.7","250","363","432","1653","1800"
"185",="4583","台灣精銳","686","+46","+7.19","12/05","2.18","3.17","3.37","3.91","4.84","8.56","22.2","78.2","244","305","490","523"
"186",="00877","復華中國5G","23.72","+0.27","+1.15","12/05","2.17","5.13","7.89","15","37.8","78.6","302","526","650","671","1081","1279"
"187",="3017","奇鋐","1385","+60","+4.53","12/05","2.14","3.56","5.04","8.29","18.2","41.7","126","255","461","489","1276","2035"
"188","00983A","主動中信ARK創新","12.43","+0.24","+1.97","12/05","2.14","3.03","3.96","6.77","12.9","51","168","","322","","",""
"189","00632R","元大台灣50反1","17.01","-0.14","-0.82","12/05","2.14","3.04","5.16","8.94","25.2","61.6","169","333","573","586","2638","4197"
"190",="3013","晟銘電","133.5","0","0","12/05","2.13","4.6","6.24","9.66","18.5","103","186","649","1102","1191","3913","5524"
"191",="9949","琉園","26.15","+1.15","+4.6","12/05","2.12","3.03","3.13","3.38","8.96","9.52","12.5","14.3","26.8","28.1","81.7","124"
"192",="6179","亞通","31.85","-0.25","-0.78","12/05","2.11","3.18","5.03","13.3","37.9","55","135","229","275","284","837","1124"
"193","00708L","期元大S&P黃金正2","86.6","+1.05","+1.23","12/05","2.08","6.01","9.53","21.6","44.8","116","355","551","993","1011","1310","1575"
"194",="6510","精測","1900","+45","+2.43","12/05","2.07","5.04","7.06","13.5","33.2","61.7","194","339","493","542","775","1020"
"195","00641R","富邦日本反1","4.67","+0.04","+0.86","12/05","2.07","6","6.53","8.77","18.8","41.7","91.3","198","434","448","816","1076"
"196","00781B","國泰A級科技債","30.06","-0.02","-0.07","12/05","2.06","3.92","6.59","11.6","22.3","44","131","258","463","509","996","1493"
"197",="2368","金像電","596","+14","+2.41","12/05","2.04","3.59","5.87","13.2","37.6","73.3","144","298","477","539","901","1479"
"198","00985A","主動野村台灣50","12.7","+0.09","+0.71","12/05","2.01","4.19","5.13","8.26","16.5","42.7","141","","277","","",""
"199",="3323","加百裕","39.05","-0.45","-1.14","12/05","2","5.6","8.96","27.3","51.5","86","533","1164","2252","2646","3357","3423"
"200",="8150","南茂","43.55","-0.25","-0.57","12/05","2","4.3","9.58","14.8","28.9","128","168","187","220","225","343","433"
"201",="00909","國泰數位支付服務","42.78","+0.84","+2","12/05","2","3.31","5.13","10","19.8","66.2","175","284","520","581","820","868"
"202",="8114","振樺電","174","-10","-5.43","12/05","1.99","2.73","3.1","4.01","9.57","19.2","38.2","94.4","199","223","427","566"
"203",="00668","國泰美國道瓊","54.7","0","0","12/05","1.96","2.67","3.15","4.25","8.25","48.5","104","231","446","487","850","1178"
"204",="0052","富邦科技","36.12","+0.44","+1.23","12/05","1.96","4.03","6.12","16.3","48.4","50.9","56.7","59.9","65.9","66.6","82","87.7"
"205",="4927","泰鼎-KY","23.8","+1.05","+4.62","12/05","1.95","3.37","3.87","5.6","9.85","25.7","126","210","332","341","468","559"
"206",="3040","遠見","63.4","-1.3","-2.01","12/05","1.94","3.06","3.2","4.05","6.37","16","62.2","250","309","339","481","491"
"207",="3006","晶豪科","80","+1.1","+1.39","12/05","1.92","4.09","6.34","9.61","18.6","111","417","477","553","560","1103","1728"
"208",="1540","喬福","24.4","+2.2","+9.91","12/05","1.9","2.3","2.56","2.7","3.4","6.19","21.3","50","348","425","2659","2824"
"209",="3046","建碁","50.3","+1.85","+3.82","12/05","1.88","1.96","2.25","2.72","3.44","10.9","24.5","48.8","69.2","72.7","217","1641"
"210",="4526","東台","31.8","-0.45","-1.4","12/05","1.84","4.03","4.34","4.91","7.02","16.9","88.9","362","529","555","1331","1422"
"211","00734B","台新JPM新興債","16","-0.01","-0.06","12/05","1.82","3.64","5.49","9.13","18.4","46.7","120","238","408","431","920","1798"
"212",="3706","神達","93.7","+0.9","+0.97","12/05","1.81","3.55","5.16","8.05","14.4","45.2","257","662","894","998","1554","1849"
"213","00988A","主動統一全球創新","9.99","+0.17","+1.73","12/05","1.81","2.62","3.56","5.89","15.5","68.4","","","79.9","","",""
"214",="3030","德律","167.5","-4","-2.33","12/05","1.81","5.6","6.92","11.3","15","27.8","69.9","219","294","302","567","608"
"215","00980A","主動野村臺灣優選","14.62","+0.11","+0.76","12/05","1.8","3.83","5.1","9.35","21.2","75.4","143","229","285","","",""
"216",="3438","類比科","56.9","+1.9","+3.45","12/05","1.78","5.41","8.37","12.3","16.7","19.5","32.3","39.3","67.4","70.3","450","687"
"217",="5386","青雲","71.6","-0.5","-0.69","12/05","1.78","2.75","3.21","4.82","10.1","59.4","115","163","270","295","1686","2380"
"218",="5481","新華","22.4","-0.55","-2.4","12/05","1.77","4.63","6.72","12.5","21.7","44","57.4","57.4","173","245","522","547"
