日期,證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"1150306","0050","元大台灣50","151611764","11638160681","76.80","77.30","76.30","76.85","-0.5500","179651"
"1150306","0051","元大中型100","133081","14239949","106.00","108.20","105.40","106.60","0.3500","567"
"1150306","0052","富邦科技","44815274","2043191706","45.40","45.92","45.35","45.60","-0.2500","29263"
"1150306","0053","元大電子","17133","2907608","168.65","171.00","168.65","169.60","-0.7500","196"
"1150306","0055","元大MSCI金融","182699","5981252","32.50","32.86","32.50","32.80","-0.1000","499"
"1150306","0056","元大高股息","36627259","1409560900","38.30","38.74","38.10","38.63","0.1300","23141"
"1150306","0057","富邦摩台","39164","8882171","225.60","227.50","225.60","226.50","-0.2000","122"
"1150306","0061","元大寶滬深","171448","4026938","23.65","23.65","23.43","23.60","-0.0300","167"
"1150306","006203","元大MSCI台灣","4253","587789","138.45","138.45","138.15","138.15","-1.0500","109"
"1150306","006204","永豐臺灣加權","7957","1363043","169.90","172.10","169.90","171.50","-0.7500","122"
"1150306","006205","富邦上証","552122","22577695","41.19","41.19","40.72","40.90","-0.2900","238"
"1150306","006206","元大上證50","78685","2937190","37.68","37.68","37.12","37.33","-0.0900","252"
"1150306","006207","復華滬深","356046","11179262","31.33","31.50","31.31","31.50","-0.0900","123"
"1150306","006208","富邦台50","6305770","1124209988","178.20","179.50","177.10","178.20","-1.1500","13342"
"1150306","00625K","富邦上証+R","","","","","","","0.0000",""
"1150306","00631L","元大台灣50正2","5592724","2660893634","471.85","484.45","468.00","478.05","-0.7500","15243"
"1150306","00632R","元大台灣50反1","86942014","1231343878","14.24","14.28","14.04","14.12","-0.0300","9570"
"1150306","00633L","富邦上証正2","1869254","84999214","45.46","45.76","45.02","45.66","-0.2100","416"
"1150306","00634R","富邦上証反1","228000","754520","3.31","3.33","3.30","3.31","0.0100","14"
"1150306","00635U","期元大S&P黃金","4601442","249145473","53.85","54.50","53.75","54.30","-0.5000","4521"
"1150306","00636","國泰中國A50","1186860","31232688","26.28","26.42","26.25","26.39","-0.0900","255"
"1150306","00636K","國泰中國A50+U","200","1678","8.39","8.39","8.39","8.39","-0.0100","2"
"1150306","00637L","元大滬深300正2","18852820","352490246","18.75","18.84","18.54","18.79","-0.1100","2884"
"1150306","00638R","元大滬深300反1","44060","315208","7.19","7.21","7.14","7.15","0.0100","11"
"1150306","00639","富邦深100","830344","12787216","15.35","15.50","15.30","15.46","-0.0300","260"
"1150306","00640L","富邦日本正2","333063","29826855","89.00","90.70","87.95","90.50","-0.7000","357"
"1150306","00641R","富邦日本反1","3005919","12696209","4.23","4.27","4.18","4.18","-0.0200","153"
"1150306","00642U","期元大S&P石油","45971643","959237644","20.83","21.03","20.66","21.00","0.5900","10728"
"1150306","00643","群益深証中小","2822688","51243686","18.15","18.23","17.96","18.14","-0.0400","203"
"1150306","00643K","群益深証中小+R","","","","","","","0.0000",""
